NLC,Origin TLC,Station Name,Location for map,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1112 Entries & Exits,"1011
Entries & Exits","%-change, 2010-11 to 2011-12",Interchanges,Large station Flag,Small Station Flag,Explanation of large change,Sources
5336,CBR,Cooksbridge,"BN7 3QG, UK",South East,East Sussex,Lewes,UKJ2,"Surrey, East & West Sussex",Southern,,,,"2,972","2,538","14,090","19,600","2,972","2,538","14,090","19,600","39,200","41,370",-5,0,0,0,,
3570,COE,Coombe,"PL14 7LL, UK",South West,Cornwall And Isles Of Scilly,Caradon,UKK3,Cornwall and Isles of Scilly,First Great Western,,,,8,22,0,30,8,22,0,30,60,38,58,0,0,1,Very small absolute number of entries and exits,
5821,COP,Copplestone,"EX17 5NE, UK",South West,Devon,Mid Devon,UKK4,Devon,First Great Western,,,,880,"5,026",434,"6,340",880,"5,026",434,"6,340","12,680","10,024",26,0,1,0,Continues high growth from previous year,
7504,CRB,Corbridge,"NE45 5AY, UK",North East,Northumberland,Tynedale,UKC2,Northumberland and Tyne and Wear,Northern Rail,,,,"9,162","25,037","3,285","37,484","9,162","25,037","3,285","37,484","74,968","81,688",-8,0,0,0,,
1847,COR,Corby,"NN17 1UJ, UK",East Midlands,Northamptonshire,Corby,UKF2,"Leicestershire, Rutland and Northamptonshire",East Midlands Trains,,,,"20,185","62,881","24,628","107,694","20,185","62,881","24,628","107,694","215,388","176,706",22,706,1,0,Continuing ramp-up of demand following reopening in 2009,
9627,CKH,Corkerhill Glasgow,"G52 1QR, UK",Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,"48,347","28,441","41,493","118,281","48,347","28,441","41,493","118,281","236,562","211,954",12,0,1,0,Continues high growth from previous year,
2049,CKL,Corkickle,"CA28 8AP, UK",North West,Cumbria,Copeland,UKD1,Cumbria,Northern Rail,,,,"9,901",312,"4,434","14,647","9,901",312,"4,434","14,647","29,294","22,986",27,0,1,0,History of variable usage,
8824,CPA,Corpach,"PH33 7LS, UK",Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,,892,438,0,"1,330",892,438,0,"1,330","2,660","2,554",4,0,0,0,,
8825,CRR,Corrour,"PH30 4AA, UK",Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,,"4,474","1,638",0,"6,112","4,474","1,638",0,"6,112","12,224","12,782",-4,0,0,0,,
3905,COY,Coryton,"CF14 7BW, UK",Wales - Cymru,Cardiff - Caerdydd,Cardiff - Caerdydd,UKL2,East Wales,Arriva Trains Wales,,,,"84,056","2,897","52,565","139,518","84,056","2,897","52,565","139,518","279,036","284,656",-2,0,0,0,,
1143,CSY,Coseley,"WV14 8XP, UK",West Midlands,West Midlands,Dudley,UKG3,West Midlands,London Midland Trains,,West Midlands,,"30,747","67,969","84,925","183,641","30,747","67,969","84,925","183,641","367,282","271,958",35,0,1,0,"Main portion of increase due to improved demand estimation in Centro area (extra 73,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",
4617,COS,Cosford,"WV7 3EY, UK",West Midlands,Shropshire,Bridgnorth,UKG2,Shropshire and Staffordshire,London Midland Trains,,West Midlands,,"9,971","15,608","5,110","30,689","9,971","15,608","5,110","30,689","61,378","85,072",-28,0,1,0,Station rebuilt during year,http://www.rail.co/2011/11/29/the-rebuilding-of-cosford-railway-station/
5896,CSA,Cosham,"PO6 3BD, UK",South East,Portsmouth,Portsmouth,UKJ3,Hampshire and Isle of Wight,South West Trains,,,,"171,372","192,854","90,228","454,454","171,372","192,854","90,228","454,454","908,908","855,184",6,0,0,0,,
8056,CGM,Cottingham,"HU16 4QU, UK",Yorkshire And The Humber,East Riding Of Yorkshire,East Riding Of Yorkshire,UKE1,East Riding and North Linconshire,Northern Rail,,,,"22,237","37,813","40,441","100,491","22,237","37,813","40,441","100,491","200,982","193,078",4,0,0,0,,
8505,COT,Cottingley,"LS11 0JT, UK",Yorkshire And The Humber,West Yorkshire,Leeds,UKE4,West Yorkshire,Northern Rail,,West Yorkshire,,"17,245","8,633","22,767","48,645","17,245","8,633","22,767","48,645","97,290","90,870",7,0,0,0,,http://www.rail.co/2011/11/29/the-rebuilding-of-cosford-railway-station/
5408,CDS,Coulsdon South,"CR5 3EA, UK",London,Greater London,Croydon,UKI2,Outer London,Southern,,,London Travelcard Area Station,"166,967","186,287","428,695","781,949","166,967","186,287","428,695","781,949","1,563,898","1,490,036",5,0,0,0,,
5382,CDN,Coulsdon Town,"51.3219, -0.134, UK",London,Greater London,Croydon,UKI2,Outer London,Southern,,,London Travelcard Area Station,"34,395","60,006","139,101","233,502","34,395","60,006","139,101","233,502","467,004",0,-,0,1,0,Previously Smitham,
1030,COV,Coventry,"CV1 2GT, UK",West Midlands,West Midlands,Coventry,UKG3,West Midlands,Virgin Trains (West Coast),,West Midlands,,"635,494","1,351,535","726,953","2,713,982","635,494","1,351,535","726,953","2,713,982","5,427,964","5,155,756",5,"273,411",0,0,,
5409,CWN,Cowden,"TN8 7DS, UK",South East,Kent,Sevenoaks,UKJ4,Kent,Southern,,,,"3,936","6,772","11,969","22,677","3,936","6,772","11,969","22,677","45,354","38,042",19,0,1,0,Cause of large increase not clear,
9185,COW,Cowdenbeath,"KY4 9SQ, UK",Scotland,Fife,Fife,UKM2,Eastern Scotland,First ScotRail,,,,"22,845","38,888","13,942","75,675","22,845","38,888","13,942","75,675","151,350","141,154",7,0,0,0,,
